House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Holly Road,Rita,Hanson,45,Head,Divorced,Female,Purchasing manager,None,None
2,Holly Road,Dorothy,Russell,29,Head,Single,Female,Retail merchandiser,None,None
2,Holly Road,Valerie,Hussain,18,None,Single,Female,Student,None,NA
2,Holly Road,Julie,Buckley,55,None,Single,Female,Hospital pharmacist,None,Methodist
3,Holly Road,Martin,Kemp,70,Head,Married,Male,"Retired Buyer, industrial",None,Methodist
3,Holly Road,Deborah,Kemp,68,Wife,Married,Female,Retired Armed forces logistics/support/administrative officer,None,Methodist
3,Holly Road,Christian,Morris-Kemp,35,Son,Divorced,Male,Leisure centre manager,None,Methodist
3,Holly Road,Lauren,Morris-Kemp,34,Daughter,Single,Female,Therapeutic radiographer,None,Methodist
4,Holly Road,Valerie,Wilson,44,Head,Married,Female,Animator,None,Catholic
4,Holly Road,Daniel,Wilson,45,Husband,Married,Male,"Engineer, land",None,Catholic
4,Holly Road,Christian,Wilson,10,Son,NA,Male,Student,None,NA
4,Holly Road,Albert,Hudson-Wilson,9,Son,NA,Male,Student,None,NA
5,Holly Road,Michael,Evans,58,Head,Single,Male,Unemployed,None,None
6,Holly Road,Yvonne,Farrell,54,Head,Married,Female,Oncologist,None,Christian
6,Holly Road,Thomas,Farrell,57,Husband,Married,Male,Maintenance engineer,None,None
6,Holly Road,Natasha,Farrell,17,Daughter,NA,Female,Student,None,NA
7,Holly Road,Georgia,Burke,51,Head,Married,Female,Animal technologist,None,Methodist
7,Holly Road,Trevor,Burke,56,Husband,Married,Male,Mechanical engineer,None,Methodist
7,Holly Road,Marilyn,Lowe,18,Daughter,Divorced,Female,Student,None,Methodist
7,Holly Road,Tracey,Ferguson,15,Daughter,NA,Female,Student,None,NA
8,Holly Road,Karen,Harper,52,Head,Married,Female,Clinical research associate,None,None
8,Holly Road,Jay,Harper,55,Husband,Married,Male,Museum/gallery exhibitions officer,None,None
8,Holly Road,Roger,Harper,15,Son,NA,Male,Student,None,NA
8,Holly Road,Stewart,Harper,12,Son,NA,Male,Student,None,NA
8,Holly Road,Melissa,Harper,9,Daughter,NA,Female,Student,None,NA
8,Holly Road,Steven,Harper,5,Son,NA,Male,Student,None,NA
9,Holly Road,Rosemary,Rhodes,48,Head,Divorced,Female,"Engineer, technical sales",None,Catholic
9,Holly Road,Douglas,Rhodes,28,Son,Single,Male,"Designer, furniture",None,Catholic
9,Holly Road,Jake,Rhodes,24,Son,Divorced,Male,"Civil engineer, consulting",None,Catholic
9,Holly Road,Malcolm,Rhodes,20,Son,Single,Male,University Student,None,Catholic
9,Holly Road,Sharon,Rhodes,18,Daughter,Divorced,Female,Student,None,None
10,Holly Road,Victoria,Patterson,59,Head,Married,Female,IT consultant,None,None
10,Holly Road,Francis,Patterson,57,Husband,Married,Male,Risk analyst,None,None
10,Holly Road,Harriet,Patterson,26,Daughter,Single,Female,Chiropractor,None,None
10,Holly Road,Iain,Patterson,24,Son,Single,Male,Microbiologist,None,None
11,Holly Road,Samuel,Newton,50,Head,Single,Male,"Surveyor, rural practice",None,Christian
11,Holly Road,Dorothy,Thomas,43,Partner,Single,Female,"Solicitor, Scotland",None,Christian
12,Holly Road,Natalie,Shepherd,75,Head,Widowed,Female,"Retired Programmer, multimedia",Unknown Infection,Muslim
12,Holly Road,Elliot,Shepherd,43,Son,Single,Male,"Embryologist, clinical",None,Muslim
12,Holly Road,Phillip,Shepherd,35,Son,Divorced,Male,Merchant navy officer,None,None
13,Holly Road,Heather,Whittaker-Walker,31,Head,Divorced,Female,Retail manager,None,Catholic
13,Holly Road,Donna,Turner,2,Step-Daughter,NA,Female,Child,None,NA
13,Holly Road,Ben,Turner,0,Step-Son,NA,Male,Child,None,NA
13,Holly Road,Leigh,King,53,Lodger,Divorced,Male,Local government officer,None,Christian
14,Holly Road,Sara,Taylor,32,Head,Single,Female,Field trials officer,None,None
14,Holly Road,Ian,Harrison,30,None,Single,Male,Rural practice surveyor,None,Catholic
14,Holly Road,Arthur,Woodward,52,None,Single,Male,"Buyer, retail",None,None
14,Holly Road,Simon,Wood,62,None,Single,Male,"Administrator, education",None,None
14,Holly Road,Phillip,Abbott,64,None,Single,Male,Academic librarian,None,Catholic
14,Holly Road,Sandra,Young,54,None,Single,Female,"Radiographer, therapeutic",None,None
15,Holly Road,Julia,Kelly-Griffiths,47,Head,Married,Female,Lawyer,None,Methodist
15,Holly Road,Donald,Kelly-Griffiths,49,Husband,Married,Male,"Engineer, control and instrumentation",None,Methodist
15,Holly Road,Sophie,Gray-Kelly-Griffiths,18,Daughter,Divorced,Female,Student,None,Methodist
15,Holly Road,Amy,Gray-Kelly-Griffiths,17,Daughter,NA,Female,Student,None,NA
15,Holly Road,Ann,Gray-Kelly-Griffiths,16,Daughter,NA,Female,Student,None,NA
15,Holly Road,Stewart,Taylor-Gray-Kelly-Griffiths,16,Son,NA,Male,Student,None,NA
16,Holly Road,Carol,Day,55,Head,Married,Female,Comptroller,None,None
16,Holly Road,Wayne,Day,59,Husband,Married,Male,Medical sales representative,None,None
16,Holly Road,Declan,Day,22,Son,Single,Male,University Student,None,None
16,Holly Road,Jane,Day,13,Daughter,NA,Female,Student,None,NA
17,Holly Road,Jonathan,Smart,54,Head,Single,Male,Hydrogeologist,None,Catholic
18,Holly Road,Victor,Payne,47,Head,Married,Male,Immigration officer,None,Christian
18,Holly Road,Samantha,Payne,46,Wife,Married,Female,"Nurse, learning disability",None,Christian
18,Holly Road,Lydia,Payne,13,Daughter,NA,Female,Student,None,NA
18,Holly Road,Carolyn,Payne,11,Daughter,NA,Female,Student,None,NA
1,Bennett Isle,Joshua,Barker,28,Head,Married,Male,Comptroller,None,Christian
1,Bennett Isle,Joanna,Barker,27,Wife,Married,Female,Sports administrator, ,Christian
2,Bennett Isle,Harry,Harper,20,Head,Single,Male,University Student,None,Methodist
2,Bennett Isle,Shirley,Potter,48,None,Single,Female,"Production assistant, radio",None,Catholic
2,Bennett Isle,Dorothy,Thompson,19,None,Single,Female,University Student,None,None
3,Bennett Isle,Jacqueline,Campbell,42,Head,Married,Female,Trade mark attorney,None,None
3,Bennett Isle,Stuart,Campbell,44,Husband,Married,Male,Occupational hygienist,None,None
4,Bennett Isle,Molly,Brookes,63,Head,Married,Female,"Investment banker, operational",None,None
4,Bennett Isle,Stanley,Brookes,64,Husband,Married,Male,"Editor, film/video",None,None
4,Bennett Isle,Graeme,Brookes,29,Son,Divorced,Male,Electronics engineer,None,None
4,Bennett Isle,Sylvia,Brookes,26,Daughter,Single,Female,Medical secretary,None,None
5,Bennett Isle,Katy,Harrison,78,Head,Widowed,Female,Retired Licensed conveyancer,None,Christian
5,Bennett Isle,Shannon,Harrison,15,Granddaughter,NA,Female,Student,None,NA
6,Bennett Isle,Frances,Robinson,27,Head,Divorced,Female,Market researcher,None,Christian
6,Bennett Isle,Eleanor,Nash,60,Lodger,Divorced,Female,"Administrator, education",None,Christian
6,Bennett Isle,Helen,Patel,47,Lodger,Divorced,Female,Social researcher,None,None
6,Bennett Isle,Anna,Curtis,34,Lodger,Divorced,Female,Animator,None,Catholic
7,Bennett Isle,Amber,Middleton,54,Head,Married,Female,"Designer, industrial/product",None,Christian
7,Bennett Isle,Kenneth,Middleton,58,Husband,Married,Male,"Production designer, theatre/television/film",None,None
7,Bennett Isle,Brett,Middleton,26,Son,Divorced,Male,"Lighting technician, broadcasting/film/video",None,None
7,Bennett Isle,Conor,Middleton,23,Son,Single,Male,Homeopath,None,Christian
7,Bennett Isle,Stanley,Middleton,19,Son,Divorced,Male,Archaeologist,None,Christian
8,Bennett Isle,Chloe,Hobbs,40,Head,Single,Female,Counsellor,None,Catholic
8,Bennett Isle,Stuart,Gordon,43,Partner,Single,Male,Translator,None,Catholic
8,Bennett Isle,Holly,Hobbs,12,Daughter,NA,Female,Student,None,NA
9,Bennett Isle,Carole,Holden,31,Head,Married,Female,Sports therapist,None,Catholic
